Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
G105401,020XX W HOWARD ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,42.019,-87.682
G734293,038XX N KEDZIE AV,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2001,41.951,-87.708
HR493254,006XX N RIDGEWAY AVE,GAME/DICE,OTHER,True,2009,41.892,-87.720
HJ240653,069XX N GLENWOOD AVE,GAME/DICE,SIDEWALK,True,2003,42.007,-87.666
HH817517,023XX S CHRISTIANA AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2002,41.849,-87.709
HY369382,097XX S PARNELL AVE,GAME/DICE,PARK PROPERTY,True,2015,41.717,-87.637
HP148869,005XX N WALLER AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2008,41.890,-87.768
HV240294,006XX N PARKSIDE AVE,GAME/DICE,SIDEWALK,True,2012,41.892,-87.767
HN726929,079XX S LAFLIN ST,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2007,41.750,-87.661
HX275903,057XX S RACINE AVE,GAME/DICE,PARK PROPERTY,True,2014,41.790,-87.655
G341972,080XX S SPRINGFIELD AV,GAME/DICE,PARK PROPERTY,True,2001,41.747,-87.720
HJ478913,020XX N LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2003,41.917,-87.719
HN476623,012XX S TROY ST,GAME/DICE,ALLEY,True,2007,41.865,-87.704
HP621432,0000X S MASON AVE,GAME/DICE,SIDEWALK,True,2008,41.880,-87.773
HS420886,050XX W MADISON ST,GAME/DICE,STREET,True,2010,41.880,-87.751
HP367066,006XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2008,41.893,-87.720
HJ224216,007XX W 26TH ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.845,-87.645
HV481177,028XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2012,41.877,-87.698
HJ569024,027XX W OGDEN AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.862,-87.694
HV410400,039XX W ARTHINGTON ST,GAME/DICE,SIDEWALK,True,2012,41.870,-87.724
HJ503702,018XX W IRVING PARK RD,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.954,-87.675
HS251421,007XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2010,41.894,-87.720
HK465171,011XX S FRANCISCO AVE,GAME/DICE,SIDEWALK,True,2004,41.868,-87.698
HS388903,016XX N MONITOR AVE,GAME/DICE,SIDEWALK,True,2010,41.910,-87.771
G510697,076XX N GREENVIEW AV,GAME/DICE,STREET,True,2001,42.020,-87.668
HX346761,055XX N KEDZIE AVE,GAME/CARDS,RESTAURANT,True,2014,41.982,-87.709
HJ501516,002XX W CERMAK RD,GAME/CARDS,OTHER,True,2003,41.853,-87.633
G598107,031XX W POLK ST,GAME/DICE,STREET,True,2001,41.871,-87.705
HL712363,059XX S MORGAN ST,GAME/DICE,ALLEY,True,2005,41.786,-87.650
HZ193626,048XX W FULTON ST,GAME/DICE,SIDEWALK,True,2016,41.886,-87.746
HK233049,047XX S MICHIGAN AVE,ILLEGAL ILL LOTTERY,STREET,True,2004,41.809,-87.623
HK208805,029XX N PULASKI RD,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.935,-87.727
HH140108,042XX S KEDZIE AV,OTHER,RESTAURANT,True,2002,41.817,-87.704
HL347405,068XX N ASHLAND BLVD,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2005,42.006,-87.670
HM491211,033XX W MAYPOLE AVE,GAME/DICE,SIDEWALK,True,2006,41.884,-87.709
HK249421,008XX S KOLMAR AVE,GAME/DICE,SIDEWALK,True,2004,41.870,-87.739
HJ726552,117XX S MICHIGAN AVE,GAME/DICE,SIDEWALK,True,2003,41.680,-87.621
HR535044,003XX E 55TH PL,GAME/DICE,SIDEWALK,True,2009,41.794,-87.618
HJ432710,076XX S ABERDEEN ST,GAME/DICE,ALLEY,True,2003,41.756,-87.651
HN493416,055XX W JACKSON BLVD,GAME/DICE,SIDEWALK,True,2007,41.877,-87.763
HP213279,049XX W FULLERTON AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2008,41.924,-87.750
HP673212,006XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2008,41.892,-87.754
HY366692,026XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2015,41.969,-87.694
HS431528,057XX S ADA ST,GAME/DICE,SIDEWALK,True,2010,41.790,-87.658
HM218283,021XX E 97TH ST,GAME/DICE,SIDEWALK,True,2006,41.719,-87.572
HT384033,059XX S SANGAMON ST,GAME/DICE,SIDEWALK,True,2011,41.786,-87.649
HR559611,012XX W 72ND ST,GAME/DICE,SIDEWALK,True,2009,41.763,-87.656
HT443393,012XX N SPRINGFIELD AVE,GAME/DICE,SIDEWALK,True,2011,41.904,-87.724
HJ516794,069XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2003,41.769,-87.583
HR343486,049XX W HUBBARD ST,GAME/DICE,SIDEWALK,True,2009,41.889,-87.749
HL471653,008XX E 80TH ST,GAME/DICE,SIDEWALK,True,2005,41.749,-87.604
HR500950,069XX S DORCHESTER AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2009,41.769,-87.591
HJ687383,080XX S COLFAX AVE,GAME/DICE,SIDEWALK,True,2003,41.750,-87.561
HM675658,076XX S STEWART AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2006,41.755,-87.634
HZ283878,013XX W 64TH ST,GAME/DICE,PARK PROPERTY,True,2016,41.778,-87.657
HT301665,003XX N LATROBE AVE,GAME/DICE,SIDEWALK,True,2011,41.886,-87.757
HV298582,0000X E 102ND PL,GAME/DICE,SIDEWALK,True,2012,41.708,-87.622
HM310491,050XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2006,41.899,-87.751
HK461466,054XX N KEDZIE AVE,GAME/CARDS,GAS STATION,True,2004,41.980,-87.709
HK542563,090XX S BURLEY AVE,GAME/DICE,ALLEY,True,2004,41.731,-87.546
HL405632,047XX S VINCENNES AVE,GAME/DICE,SIDEWALK,True,2005,41.809,-87.614
HV228412,007XX N RIDGEWAY AVE,GAME/DICE,SIDEWALK,True,2012,41.894,-87.720
HV412209,014XX E 69TH PL,GAME/DICE,SIDEWALK,True,2012,41.769,-87.590
HP319019,037XX W OHIO ST,GAME/DICE,SIDEWALK,True,2008,41.892,-87.720
HR423944,012XX N MASON AVE,OTHER,SIDEWALK,True,2009,41.903,-87.774
HS249764,033XX W MADISON ST,GAME/DICE,PARK PROPERTY,True,2010,41.881,-87.710
G665981,029XX W LEXINGTON ST,GAME/DICE,STREET,True,2001,41.872,-87.700
HT443470,061XX S MAY ST,GAME/DICE,SIDEWALK,True,2011,41.782,-87.653
HP667916,050XX W GLADYS AVE,GAME/DICE,SIDEWALK,True,2008,41.876,-87.751
HN322491,018XX S TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2007,41.856,-87.711
HY413287,012XX S AVERS AVE,GAME/CARDS,SIDEWALK,True,2015,41.866,-87.721
HV496269,042XX S MICHIGAN AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2012,41.818,-87.623
HL653336,034XX W MONROE ST,GAME/DICE,SIDEWALK,True,2005,41.880,-87.712
HZ192542,015XX S KOMENSKY AVE,GAME/DICE,SIDEWALK,True,2016,41.860,-87.726
HV376074,012XX W 13TH ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2012,41.865,-87.658
HM647904,050XX N BROADWAY,OTHER,STREET,True,2006,41.973,-87.660
HP511903,054XX W CRYSTAL ST,GAME/DICE,SIDEWALK,True,2008,41.903,-87.762
HH120847,057XX N WESTERN AV,GAME/CARDS,RESTAURANT,True,2002,41.986,-87.690
HJ387833,029XX W MADISON ST,GAME/DICE,SIDEWALK,True,2003,41.881,-87.699
HN382720,005XX W 72ND ST,GAME/DICE,PARK PROPERTY,True,2007,41.763,-87.637
HR530057,035XX W POLK ST,GAME/DICE,SIDEWALK,True,2009,41.871,-87.714
HR527784,082XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2009,41.745,-87.606
HZ473062,003XX S LOOMIS ST,GAME/DICE,SIDEWALK,True,2016,41.877,-87.662
HK379561,012XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2004,41.903,-87.758
HM471594,002XX E 29TH ST,GAME/DICE,PARK PROPERTY,True,2006,41.842,-87.622
HJ578274,102XX S PARNELL AVE,GAME/DICE,ALLEY,True,2003,41.708,-87.637
HH577570,136XX S CALHOUN AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2002,41.648,-87.562
HH148140,014XX S DRAKE AV,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2002,41.862,-87.714
HS422383,012XX W 81ST ST,GAME/DICE,SIDEWALK,True,2010,41.747,-87.654
HR558254,057XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2009,41.894,-87.769
HL583930,014XX N LEAMINGTON AVE,GAME/DICE,SIDEWALK,True,2005,41.907,-87.755
HJ363869,084XX S MUSKEGON AVE,GAME/DICE,STREET,True,2003,41.742,-87.555
HR534168,0000X N LOREL AVE,GAME/DICE,SIDEWALK,True,2009,41.881,-87.759
HR423580,016XX N MEADE AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2009,41.910,-87.778
HR363230,073XX S EVANS AVE,GAME/DICE,"SCHOOL, PUBLIC, GROUNDS",True,2009,41.762,-87.607
HM577893,070XX S PAXTON AVE,GAME/DICE,ALLEY,True,2006,41.767,-87.571
HP725349,082XX S ASHLAND AVE,GAME/AMUSEMENT DEVICE,BAR OR TAVERN,True,2008,41.744,-87.663
HW365181,013XX N MAYFIELD AVE,GAME/DICE,STREET,True,2013,41.905,-87.773
HN648005,056XX W FULTON ST,GAME/DICE,SIDEWALK,True,2007,41.886,-87.768
HP440789,030XX W MADISON ST,GAME/DICE,STREET,True,2008,41.881,-87.702
HW387269,059XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2013,41.786,-87.661
HN370919,049XX W HUBBARD ST,GAME/DICE,SIDEWALK,True,2007,41.889,-87.749
HM438633,009XX E 104TH ST,GAME/DICE,SIDEWALK,True,2006,41.706,-87.601
HT504942,065XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2011,41.775,-87.667
G257847,061XX S MAY ST,GAME/DICE,STREET,True,2001,41.783,-87.654
HS424169,0000X E 113TH PL,GAME/DICE,SIDEWALK,True,2010,41.688,-87.622
JA226314,033XX W VAN BUREN ST,GAME/DICE,SIDEWALK,True,2017,41.875,-87.709
HP464596,118XX S UNION AVE,GAME/DICE,ABANDONED BUILDING,True,2008,41.679,-87.640
HR391734,0000X W 114TH PL,GAME/DICE,SIDEWALK,True,2009,41.686,-87.624
HN491171,115XX S WENTWORTH AVE,GAME/DICE,SIDEWALK,True,2007,41.685,-87.628
HY319186,002XX S LOTUS AVE,GAME/DICE,SIDEWALK,True,2015,41.878,-87.762
HL699161,012XX N HAMLIN AVE,GAME/DICE,SIDEWALK,True,2005,41.903,-87.721
HL643594,037XX S RHODES AVE,GAME/DICE,SIDEWALK,True,2005,41.827,-87.614
HW491856,106XX S STATE ST,GAME/DICE,SIDEWALK,True,2013,41.700,-87.623
HP223780,062XX S WESTERN AVE,GAME/DICE,ALLEY,True,2008,41.780,-87.684
HS612249,054XX W NORTH AVE,GAME/DICE,SIDEWALK,True,2010,41.909,-87.761
G238340,078XX S TRUMBULL AV,GAME/CARDS,STREET,True,2001,41.751,-87.709
HK361886,042XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2004,41.882,-87.731
HH356840,075XX S OGLESBY AVE,GAME/DICE,ALLEY,True,2002,41.758,-87.568
HK671430,066XX S NORMAL BLVD,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2004,41.773,-87.637
HT147938,006XX W 61ST PL,GAME/CARDS,RESIDENCE,True,2011,41.783,-87.641
G481361,075XX S EAST END AV,GAME/DICE,STREET,True,2001,41.758,-87.583
HN466788,039XX W ROOSEVELT RD,GAME/DICE,SIDEWALK,True,2007,41.866,-87.723
HM528765,036XX W DOUGLAS BLVD,GAME/DICE,SIDEWALK,True,2006,41.863,-87.717
HT335746,090XX S ESCANABA AVE,GAME/DICE,SIDEWALK,True,2011,41.731,-87.554
HL327220,043XX W VAN BUREN ST,GAME/DICE,SIDEWALK,True,2005,41.875,-87.734
HL528664,021XX S CHINA PL,OTHER,COMMERCIAL / BUSINESS OFFICE,True,2005,41.854,-87.635
HJ407945,012XX N MONTICELLO AVE,GAME/DICE,SIDEWALK,True,2003,41.903,-87.718
HM312831,054XX S BISHOP ST,GAME/DICE,SIDEWALK,True,2006,41.795,-87.661
HJ605663,055XX W POTOMAC AVE,GAME/DICE,ALLEY,True,2003,41.904,-87.765
