Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
HT490276,050XX W CONCORD PL,GAME/DICE,SIDEWALK,True,2011,41.910,-87.752
HT482778,062XX S CARPENTER ST,GAME/DICE,SIDEWALK,True,2011,41.781,-87.651
HT491528,049XX W WALTON ST,GAME/DICE,SIDEWALK,True,2011,41.898,-87.749
HN374960,026XX W LAWRENCE AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2007,41.969,-87.694
HV175129,069XX S INDIANA AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2012,41.768,-87.620
HS235229,005XX S KILBOURN AVE,GAME/DICE,SIDEWALK,True,2010,41.874,-87.738
HS200953,052XX W FULTON ST,GAME/DICE,SIDEWALK,True,2010,41.886,-87.757
HS380180,009XX N LONG AVE,GAME/DICE,SIDEWALK,True,2010,41.898,-87.761
HM307246,064XX S ELLIS AVE,GAME/DICE,SIDEWALK,True,2006,41.778,-87.600
HN519166,012XX W 98TH ST,GAME/DICE,ALLEY,True,2007,41.716,-87.654
HL680863,017XX N MONITOR AVE,GAME/DICE,SIDEWALK,True,2005,41.912,-87.772
HL331775,030XX E 83RD ST,GAME/DICE,PARK PROPERTY,True,2005,41.745,-87.550
HP594049,054XX W QUINCY ST,GAME/DICE,RESIDENCE-GARAGE,True,2008,41.877,-87.761
HN625247,110XX S ASHLAND AVE,GAME/DICE,SIDEWALK,True,2007,41.693,-87.662
HK568526,080XX S LAFLIN ST,GAME/DICE,ALLEY,True,2004,41.748,-87.661
HV493050,012XX S CALIFORNIA BLVD,GAME/DICE,PARK PROPERTY,True,2012,41.866,-87.696
HN487295,014XX W WASHBURNE AVE,GAME/CARDS,CHA PARKING LOT/GROUNDS,True,2007,41.866,-87.663
HK720919,061XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2004,41.783,-87.607
HR270838,054XX W RICE ST,GAME/DICE,SIDEWALK,True,2009,41.896,-87.762
HS553300,049XX W IOWA ST,GAME/DICE,SIDEWALK,True,2010,41.897,-87.749
HT393512,032XX W 13TH ST,GAME/DICE,SIDEWALK,True,2011,41.865,-87.706
HS405560,003XX E GARFIELD BLVD,GAME/DICE,CTA BUS STOP,True,2010,41.794,-87.619
HH362438,0000X S MAYFIELD AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2002,41.880,-87.771
HS229119,010XX N HARDING AVE,GAME/DICE,SIDEWALK,True,2010,41.899,-87.725
HH451415,092XX S SAGINAW AVE,GAME/DICE,ALLEY,True,2002,41.728,-87.559
HW384794,017XX W 59TH ST,GAME/DICE,PARK PROPERTY,True,2013,41.787,-87.668
HH657020,062XX S EVANS AVE,GAME/DICE,STREET,True,2002,41.782,-87.607
HH474209,075XX N HOYNE AVE,GAME/DICE,SIDEWALK,True,2002,42.019,-87.683
G567616,078XX S CONSTANCE AV,OTHER,STREET,True,2001,41.752,-87.580
HJ693392,092XX S BLACKSTONE AVE,GAME/DICE,SIDEWALK,True,2003,41.727,-87.588
HM741385,002XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2006,41.885,-87.758
HS307308,004XX W EVERGREEN AVE,GAME/DICE,SIDEWALK,True,2010,41.907,-87.639
HJ570566,006XX N WALLER AVE,GAME/DICE,STREET,True,2003,41.892,-87.768
HM225117,072XX S DOBSON AVE,GAME/DICE,PARK PROPERTY,True,2006,41.764,-87.599
HN525089,065XX S LOWE AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2007,41.775,-87.641
HS347516,092XX S SAGINAW AVE,GAME/DICE,ALLEY,True,2010,41.727,-87.559
HJ402264,021XX S LAFLIN ST,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2003,41.853,-87.664
HJ534440,071XX S STATE ST,GAME/DICE,STREET,True,2003,41.765,-87.625
HP555217,052XX W CONGRESS PKWY,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2008,41.874,-87.756
HJ756763,062XX N WESTERN AVE,GAME/CARDS,RESTAURANT,True,2003,41.995,-87.690
HV304399,063XX S HAMILTON AVE,GAME/DICE,SIDEWALK,True,2012,41.778,-87.678
HW411745,085XX S EXCHANGE AVE,GAME/DICE,SIDEWALK,True,2013,41.740,-87.553
HP320043,045XX N CLARENDON AVE,GAME/DICE,PARK PROPERTY,True,2008,41.964,-87.650
G437347,060XX S RHODES AV,GAME/DICE,SIDEWALK,True,2001,41.785,-87.612
HN620973,056XX S WINCHESTER AVE,GAME/DICE,OTHER,True,2007,41.792,-87.673
HK739520,029XX W FLOURNOY ST,GAME/DICE,SIDEWALK,True,2004,41.873,-87.699
HH222280,010XX N LAWNDALE AV,GAME/DICE,SIDEWALK,True,2002,41.900,-87.719
HH683446,027XX W LAWRENCE AVE,GAME/CARDS,STREET,True,2002,41.969,-87.697
HH394122,048XX W CONCORD PL,GAME/DICE,STREET,True,2002,41.911,-87.747
HL337377,004XX E 62ND ST,GAME/DICE,SIDEWALK,True,2005,41.782,-87.614
HN559605,074XX S MERRILL AVE,GAME/DICE,OTHER,False,2007,41.760,-87.572
HM285215,048XX W ADAMS ST,BOOKMAKING/SPORTS,SIDEWALK,True,2006,41.879,-87.746
HT550319,051XX W MAYPOLE AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2011,41.884,-87.755
HH478409,027XX W POLK ST,GAME/DICE,SIDEWALK,True,2002,41.871,-87.695
G481793,041XX S ARCHER AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,41.818,-87.698
HJ305284,006XX W 89TH ST,GAME/DICE,ALLEY,True,2003,41.733,-87.639
HL381361,023XX S STATE ST,GAME/CARDS,CHA PARKING LOT/GROUNDS,True,2005,41.850,-87.627
G543785,069XX S WINCHESTER AV,GAME/DICE,SIDEWALK,True,2001,41.767,-87.672
HS347970,004XX W CHESTNUT ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2010,41.898,-87.641
HK362617,078XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2004,41.752,-87.606
HL480103,079XX S DANTE AVE,GAME/DICE,SIDEWALK,True,2005,41.751,-87.589
HM146943,017XX W 63RD ST,GAME/DICE,ALLEY,True,2006,41.779,-87.667
HY378054,087XX S ESCANABA AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2015,41.737,-87.554
HN247057,007XX N HARDING AVE,GAME/DICE,ALLEY,True,2007,41.894,-87.725
HP385409,042XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2008,41.899,-87.732
HJ296665,092XX S MARQUETTE AVE,GAME/DICE,ALLEY,True,2003,41.727,-87.558
HJ503249,049XX N MILWAUKEE AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.971,-87.764
HR170137,0000X W 114TH ST,GAME/DICE,SIDEWALK,True,2009,41.687,-87.624
HR358003,039XX S PRAIRIE AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2009,41.823,-87.620
HL488998,070XX S CLAREMONT AVE,GAME/DICE,RESIDENCE-GARAGE,True,2005,41.766,-87.682
G016829,026XX W LAWRENCE AV,GAME/CARDS,OTHER,True,2001,41.968,-87.695
HN319898,009XX N HARDING AVE,GAME/DICE,SIDEWALK,True,2007,41.898,-87.725
HV318853,074XX S WENTWORTH AVE,GAME/DICE,SIDEWALK,True,2012,41.760,-87.630
HH831465,030XX W WALNUT ST,GAME/DICE,SIDEWALK,True,2002,41.885,-87.702
HJ721444,001XX E 103RD ST,GAME/DICE,STREET,True,2003,41.707,-87.620
HL639480,015XX N LECLAIRE AVE,GAME/DICE,SIDEWALK,True,2005,41.908,-87.753
HJ621383,003XX E 51ST ST,GAME/DICE,STREET,True,2003,41.802,-87.619
HH421579,010XX N CENTRAL PARK AVE,GAME/DICE,STREET,True,2002,41.900,-87.716
HN503117,0000X N LECLAIRE AVE,GAME/DICE,SIDEWALK,True,2007,41.881,-87.753
HH000251,061XX S MORGAN ST,OTHER,SIDEWALK,True,2002,41.782,-87.650
HN318394,014XX S HARDING AVE,GAME/DICE,SIDEWALK,True,2007,41.862,-87.724
HS286102,050XX W MONROE ST,GAME/DICE,SIDEWALK,True,2010,41.879,-87.750
HM540659,042XX S PRINCETON AVE,GAME/DICE,STREET,True,2006,41.818,-87.634
HR416113,049XX W POTOMAC AVE,GAME/DICE,ABANDONED BUILDING,True,2009,41.904,-87.750
HS594244,051XX W NORTH AVE,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2010,41.910,-87.755
HS510529,048XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2010,41.882,-87.746
HJ579971,132XX S LANGLEY AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.655,-87.605
HN484882,057XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,PARK PROPERTY,True,2007,41.791,-87.616
HL705153,048XX W IOWA ST,GAME/DICE,SIDEWALK,True,2005,41.897,-87.747
HP538628,065XX S COTTAGE GROVE AVE,GAME/DICE,SIDEWALK,True,2008,41.776,-87.606
HL678892,072XX S MARSHFIELD AVE,GAME/DICE,ALLEY,True,2005,41.762,-87.665
HP237392,007XX W 54TH PL,GAME/DICE,SIDEWALK,True,2008,41.795,-87.644
HL746067,049XX W SUPERIOR ST,GAME/DICE,SIDEWALK,True,2005,41.894,-87.749
HN620893,018XX S KOMENSKY AVE,GAME/DICE,RESIDENCE,True,2007,41.856,-87.726
G254312,080XX S MAY ST,GAME/DICE,STREET,True,2001,41.748,-87.653
HT467326,017XX E 68TH ST,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2011,41.772,-87.583
HT275266,044XX W WILCOX ST,GAME/DICE,SIDEWALK,True,2011,41.879,-87.736
HN326298,042XX W CULLERTON ST,GAME/DICE,ALLEY,True,2007,41.854,-87.730
HL686981,066XX S OAKLEY AVE,GAME/DICE,SIDEWALK,True,2005,41.773,-87.681
HK526340,028XX N LARAMIE AVE,GAME/AMUSEMENT DEVICE,OTHER,True,2004,41.932,-87.756
HN561612,043XX S WELLS ST,GAME/CARDS,SIDEWALK,True,2007,41.815,-87.632
G063100,070XX S MICHIGAN AV,GAME/DICE,ALLEY,True,2001,41.766,-87.622
HN538444,018XX S DRAKE AVE,GAME/DICE,SIDEWALK,True,2007,41.856,-87.714
HM389934,072XX S CARPENTER ST,GAME/DICE,STREET,True,2006,41.763,-87.650
HP622066,058XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,STREET,True,2008,41.788,-87.616
HW257122,063XX S VERNON AVE,GAME/DICE,SIDEWALK,True,2013,41.780,-87.614
HN645184,027XX S STATE ST,GAME/DICE,CHA HALLWAY/STAIRWELL/ELEVATOR,True,2007,41.844,-87.627
HK617350,056XX S LAFLIN ST,GAME/DICE,SIDEWALK,False,2004,41.792,-87.662
HT354344,008XX N HOMAN AVE,GAME/DICE,SIDEWALK,True,2011,41.896,-87.711
HJ163601,031XX N AUSTIN AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2003,41.938,-87.776
HP357577,002XX N KARLOV AVE,GAME/DICE,SIDEWALK,True,2008,41.884,-87.728
HW432356,064XX S HONORE ST,GAME/DICE,SIDEWALK,True,2013,41.777,-87.670
HV555594,061XX S EVANS AVE,GAME/DICE,SIDEWALK,True,2012,41.783,-87.607
HK296465,062XX S CARPENTER ST,GAME/DICE,SIDEWALK,True,2004,41.781,-87.651
HK521411,032XX W NORTH AVE,GAME/DICE,PARK PROPERTY,True,2004,41.910,-87.708
HR322195,002XX S WHIPPLE ST,GAME/DICE,SIDEWALK,True,2009,41.878,-87.702
HK471306,067XX S CHAPPEL AVE,GAME/DICE,STREET,True,2004,41.773,-87.575
HP539439,078XX S BENNETT AVE,GAME/DICE,SIDEWALK,True,2008,41.753,-87.578
HS159261,078XX S GREENWOOD AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2010,41.753,-87.598
HS320937,016XX S LAWNDALE AVE,GAME/DICE,SIDEWALK,True,2010,41.858,-87.718
HV272836,012XX W 71ST PL,GAME/DICE,SIDEWALK,True,2012,41.764,-87.655
HP454869,045XX N CLARENDON AVE,GAME/DICE,PARK PROPERTY,True,2008,41.965,-87.650
HP422201,065XX S MINERVA AVE,GAME/DICE,SIDEWALK,True,2008,41.776,-87.597
HY265770,068XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2015,41.770,-87.666
HH707851,015XX S KOMENSKY AVE,GAME/DICE,VACANT LOT/LAND,True,2002,41.860,-87.726
HW398137,075XX S HONORE ST,GAME/DICE,SIDEWALK,True,2013,41.757,-87.670
HP313112,061XX S MAY ST,GAME/DICE,SIDEWALK,True,2008,41.782,-87.653
HW379007,064XX S WOOD ST,GAME/DICE,SIDEWALK,True,2013,41.777,-87.669
HX332835,0000X S MAYFIELD AVE,GAME/DICE,SIDEWALK,True,2014,41.880,-87.771
HN214583,011XX W TAYLOR ST,OTHER,STREET,True,2007,41.869,-87.654
HK545296,030XX W NORTH AVE,GAME/DICE,PARK PROPERTY,True,2004,41.910,-87.703
HS383848,016XX N MASON AVE,GAME/DICE,SIDEWALK,True,2010,41.910,-87.774
HP370765,066XX S OAKLEY AVE,GAME/DICE,SIDEWALK,True,2008,41.773,-87.681
HS399166,083XX S KINGSTON AVE,GAME/DICE,SIDEWALK,True,2010,41.744,-87.562
G412778,052XX W ADAMS ST,GAME/DICE,STREET,True,2001,41.879,-87.755
HL504600,067XX S EAST END AVE,GAME/DICE,SIDEWALK,True,2005,41.772,-87.584
HN142368,087XX S DR MARTIN LUTHER KING JR DR,ILLEGAL ILL LOTTERY,STREET,True,2007,41.736,-87.615
HN110536,056XX W LAKE ST,GAME/DICE,STREET,True,2007,41.888,-87.766
HL360523,050XX W CONCORD PL,GAME/DICE,SIDEWALK,True,2005,41.910,-87.752
HN392436,022XX S WENTWORTH AVE,GAME/CARDS,OTHER,True,2007,41.852,-87.632
HH630579,026XX W LAWRENCE AVE,GAME/DICE,RESTAURANT,True,2002,41.969,-87.694
HL669760,056XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2005,41.791,-87.667
HR459030,040XX W ARTHINGTON ST,GAME/DICE,SIDEWALK,True,2009,41.870,-87.726
HJ727358,079XX S CARPENTER ST,GAME/DICE,FEDERAL BUILDING,True,2003,41.750,-87.650
HS533108,071XX S LOWE AVE,GAME/DICE,SIDEWALK,True,2010,41.764,-87.640
HM577607,013XX E 75TH ST,GAME/DICE,ALLEY,True,2006,41.759,-87.592
HN523830,110XX S WENTWORTH AVE,GAME/DICE,STREET,True,2007,41.694,-87.628
HX291350,002XX W 110TH ST,GAME/DICE,SIDEWALK,True,2014,41.694,-87.629
HP507796,062XX S JUSTINE ST,GAME/DICE,SIDEWALK,True,2008,41.781,-87.663
HL614553,100XX S LUELLA AVE,GAME/DICE,ALLEY,True,2005,41.713,-87.568
HV414637,011XX N LAWLER AVE,GAME/DICE,SIDEWALK,True,2012,41.901,-87.752
HZ452435,048XX W FULTON ST,GAME/DICE,SIDEWALK,True,2016,41.886,-87.746
HS635070,087XX S ESCANABA AVE,GAME/DICE,SIDEWALK,True,2010,41.736,-87.554
HW308879,012XX W 60TH ST,GAME/DICE,SIDEWALK,True,2013,41.785,-87.655
HS322005,007XX S ST LOUIS AVE,GAME/DICE,SIDEWALK,True,2010,41.872,-87.713
HL317323,080XX S WENTWORTH AVE,GAME/DICE,ALLEY,True,2005,41.748,-87.629
HM669289,087XX S DR MARTIN LUTHER KING JR DR,ILLEGAL ILL LOTTERY,STREET,True,2006,41.736,-87.615
HJ408159,013XX W HASTINGS ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2003,41.864,-87.660
HK503044,065XX S GREEN ST,GAME/DICE,SIDEWALK,True,2004,41.775,-87.646
HN368438,009XX N AVERS AVE,GAME/DICE,SIDEWALK,True,2007,41.898,-87.723
HM315827,035XX W CHICAGO AVE,BOOKMAKING/SPORTS,SIDEWALK,True,2006,41.895,-87.715
G661187,054XX S LAFLIN ST,GAME/DICE,SIDEWALK,True,2001,41.794,-87.662
HL651156,007XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2005,41.895,-87.713
HN606955,071XX S SEELEY AVE,GAME/DICE,ALLEY,True,2007,41.764,-87.675
HW479886,010XX E 93RD ST,GAME/DICE,SIDEWALK,True,2013,41.726,-87.599
HW461225,075XX S ST LAWRENCE AVE,GAME/DICE,DRIVEWAY - RESIDENTIAL,True,2013,41.758,-87.610
HP471094,102XX S HOXIE AVE,GAME/DICE,OTHER,True,2008,41.709,-87.561
HH436998,027XX W LEXINGTON ST,GAME/DICE,SIDEWALK,True,2002,41.872,-87.695
HH425000,061XX S THROOP ST,GAME/DICE,STREET,True,2002,41.782,-87.657
HV354638,009XX N LAWLER AVE,GAME/DICE,SIDEWALK,True,2012,41.898,-87.752
HT360270,070XX S YALE AVE,GAME/DICE,SIDEWALK,True,2011,41.766,-87.631
HJ408764,021XX W WASHINGTON BLVD,GAME/DICE,ALLEY,True,2003,41.883,-87.680
HT327142,065XX N CLARK ST,GAME/AMUSEMENT DEVICE,OTHER,True,2011,42.001,-87.672
HM394036,043XX W 18TH ST,GAME/DICE,SIDEWALK,True,2006,41.857,-87.733
HS478842,012XX S FAIRFIELD AVE,GAME/DICE,SIDEWALK,True,2010,41.865,-87.695
HN542863,063XX S CALUMET AVE,GAME/DICE,SIDEWALK,True,2007,41.779,-87.617
HX219922,048XX W MONROE ST,GAME/DICE,SIDEWALK,True,2014,41.879,-87.746
HS552644,006XX N TRUMBULL AVE,GAME/DICE,ALLEY,True,2010,41.893,-87.713
HJ552693,002XX E 47TH ST,ILLEGAL ILL LOTTERY,STREET,True,2003,41.809,-87.621
HM619076,068XX S HERMITAGE AVE,BOOKMAKING/SPORTS,STREET,True,2006,41.770,-87.668
HT527108,042XX S CHAMPLAIN AVE,GAME/DICE,PARK PROPERTY,True,2011,41.818,-87.610
HM555245,079XX S DREXEL AVE,GAME/DICE,SIDEWALK,True,2006,41.750,-87.603
HS224045,048XX W ADAMS ST,GAME/DICE,SIDEWALK,True,2010,41.879,-87.746
HV277584,065XX S MINERVA AVE,GAME/DICE,SIDEWALK,True,2012,41.776,-87.597
HP356299,054XX W HADDON AVE,GAME/DICE,SIDEWALK,True,2008,41.901,-87.763
G058384,049XX N MILWAUKEE AV,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2001,41.971,-87.763
HS296455,038XX S CALUMET AVE,GAME/DICE,SIDEWALK,True,2010,41.825,-87.618
HJ496416,010XX N CENTRAL PARK AVE,GAME/DICE,STREET,True,2003,41.900,-87.716
HR157088,076XX S STEWART AVE,GAME/DICE,SIDEWALK,True,2009,41.755,-87.634
HL382542,007XX W 80TH ST,GAME/DICE,SIDEWALK,True,2005,41.749,-87.642
HX469831,064XX S HONORE ST,OTHER,SIDEWALK,True,2014,41.777,-87.670
HP293202,059XX S ROCKWELL ST,GAME/DICE,SIDEWALK,True,2008,41.786,-87.689
HM420522,012XX W GREENLEAF AVE,OTHER,SIDEWALK,True,2006,42.010,-87.661
HP319120,068XX S CORNELL AVE,GAME/DICE,SIDEWALK,True,2008,41.771,-87.585
HS535343,035XX N CLARK ST,GAME/DICE,ALLEY,True,2010,41.946,-87.655
HK410269,044XX N ELSTON AVE,GAME/AMUSEMENT DEVICE,CAR WASH,True,2004,41.962,-87.731
HM620655,013XX S FAIRFIELD AVE,GAME/DICE,SIDEWALK,True,2006,41.864,-87.695
HR134912,001XX E 79TH ST,GAME/AMUSEMENT DEVICE,BAR OR TAVERN,True,2009,41.751,-87.621
HR660426,010XX N HARDING AVE,GAME/DICE,SIDEWALK,True,2009,41.900,-87.725
HM314644,025XX W DIVISION ST,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2006,41.903,-87.691
HV262522,006XX N LOCKWOOD AVE,OTHER,SIDEWALK,True,2012,41.892,-87.758
HN281626,0000X N LATROBE AVE,GAME/DICE,SIDEWALK,True,2007,41.881,-87.756
HM393632,052XX W FERDINAND ST,GAME/DICE,SIDEWALK,True,2006,41.889,-87.757
HM123969,051XX S MAY ST,GAME/DICE,SIDEWALK,True,2006,41.801,-87.654
HS389576,009XX W LAWRENCE AVE,GAME/DICE,ALLEY,True,2010,41.969,-87.654
HH454129,063XX S DR MARTIN LUTHER KING JR DR,ILLEGAL ILL LOTTERY,STREET,True,2002,41.780,-87.616
HP427996,002XX S LAVERGNE AVE,BOOKMAKING/HORSES,SIDEWALK,True,2008,41.878,-87.749
HV329984,056XX S SHIELDS AVE,GAME/DICE,SIDEWALK,True,2012,41.792,-87.634
HM401747,056XX W FULTON ST,GAME/DICE,SIDEWALK,True,2006,41.886,-87.765
HT503079,013XX W 15TH ST,GAME/DICE,CHA HALLWAY/STAIRWELL/ELEVATOR,True,2011,41.862,-87.660
HR533834,041XX W ADAMS ST,GAME/DICE,SIDEWALK,True,2009,41.878,-87.729
G573795,031XX W DEVON AV,GAME/CARDS,RESTAURANT,True,2001,41.997,-87.707
HM625818,028XX W ROOSEVELT RD,GAME/DICE,PARK PROPERTY,True,2006,41.866,-87.697
G316815,060XX S PAULINA ST,GAME/DICE,STREET,True,2001,41.785,-87.667
HN646794,060XX S LAFAYETTE AVE,GAME/DICE,SIDEWALK,False,2007,41.785,-87.627
HW319941,069XX S PEORIA ST,GAME/DICE,SIDEWALK,True,2013,41.768,-87.647
HM562226,015XX S CENTRAL PARK AVE,GAME/DICE,SIDEWALK,True,2006,41.860,-87.715
HH540582,079XX S VERNON AVE,GAME/DICE,OTHER,True,2002,41.751,-87.614
HV339856,007XX N WALLER AVE,GAME/DICE,SIDEWALK,True,2012,41.894,-87.768
HW365647,064XX S EGGLESTON AVE,GAME/DICE,SIDEWALK,True,2013,41.778,-87.636
HL671835,062XX N TALMAN AVE,GAME/DICE,STREET,True,2005,41.995,-87.696
HK617391,066XX S OAKLEY AVE,GAME/DICE,SIDEWALK,True,2004,41.773,-87.681
HS550092,012XX W 81ST ST,GAME/DICE,APARTMENT,True,2010,41.747,-87.654
HJ682243,119XX S EMERALD AVE,GAME/DICE,SIDEWALK,True,2003,41.677,-87.641
HW371824,020XX W ADAMS ST,GAME/DICE,PARK PROPERTY,True,2013,41.879,-87.678
HM585566,064XX S HOYNE AVE,GAME/DICE,SIDEWALK,True,2006,41.777,-87.676
HN495149,011XX N LAWLER AVE,GAME/DICE,SIDEWALK,True,2007,41.901,-87.752
HJ636327,068XX S THROOP ST,GAME/DICE,STREET,True,2003,41.770,-87.657
HK611386,057XX S DR MARTIN LUTHER KING JR DR,GAME/DICE,SIDEWALK,True,2004,41.791,-87.616
HJ300574,015XX W DEVON AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2003,41.998,-87.670
HK360450,020XX N CICERO AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2004,41.918,-87.746
HT387144,003XX N LAMON AVE,GAME/DICE,SIDEWALK,True,2011,41.886,-87.748
HK465434,056XX S WOLCOTT AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2004,41.791,-87.672
HP544588,055XX W QUINCY ST,GAME/DICE,SIDEWALK,True,2008,41.877,-87.763
HK500622,091XX S LOOMIS ST,GAME/DICE,SIDEWALK,True,2004,41.728,-87.658
HX301048,088XX S BURLEY AVE,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2014,41.735,-87.546
G453786,004XX N AVERS AV,GAME/DICE,SIDEWALK,True,2001,41.890,-87.722
HM387684,002XX S SPRINGFIELD AVE,GAME/DICE,SIDEWALK,True,2006,41.878,-87.723
HP428274,009XX N MONTICELLO AVE,GAME/DICE,SIDEWALK,True,2008,41.898,-87.718
HX402583,050XX W MADISON ST,GAME/DICE,SIDEWALK,True,2014,41.880,-87.751
HW246325,003XX W 42ND ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2013,41.818,-87.635
HN656597,051XX W WEST END AVE,GAME/DICE,SIDEWALK,True,2007,41.883,-87.754
HM680981,054XX S LOOMIS BLVD,ILLEGAL ILL LOTTERY,STREET,True,2006,41.795,-87.660
HH843078,019XX S SAWYER AVE,GAME/DICE,SIDEWALK,True,2002,41.855,-87.707
HW456834,042XX W WILCOX ST,GAME/DICE,SIDEWALK,True,2013,41.879,-87.732
HM528357,061XX W DIVERSEY AVE,GAME/CARDS,OTHER,True,2006,41.931,-87.779
HN368445,019XX S KEDZIE AVE,GAME/DICE,ALLEY,True,2007,41.855,-87.705
HT325750,031XX W 13TH ST,GAME/DICE,SIDEWALK,True,2011,41.865,-87.705
HK791494,007XX N WALLER AVE,GAME/DICE,SIDEWALK,True,2004,41.894,-87.768
HM672785,054XX W WALTON ST,GAME/DICE,SIDEWALK,True,2006,41.898,-87.761
HJ531423,095XX S YALE AVE,GAME/DICE,SIDEWALK,True,2003,41.721,-87.630
HW486037,065XX S JUSTINE ST,GAME/DICE,SIDEWALK,True,2013,41.775,-87.663
HM259820,016XX N LECLAIRE AVE,GAME/DICE,SIDEWALK,True,2006,41.911,-87.753
HP459077,008XX N LECLAIRE AVE,GAME/DICE,SIDEWALK,True,2008,41.896,-87.753
HT431559,021XX S ST LOUIS AVE,GAME/DICE,SIDEWALK,True,2011,41.853,-87.712
HK465919,020XX W 69TH PL,GAME/DICE,SIDEWALK,True,2004,41.768,-87.675
HW460325,057XX S CALUMET AVE,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),True,2013,41.790,-87.617
G567730,037XX W DIVISION ST,GAME/DICE,STREET,True,2001,41.903,-87.719
HS293075,034XX W HURON ST,GAME/DICE,SIDEWALK,True,2010,41.894,-87.712
HL557021,007XX N DRAKE AVE,GAME/DICE,SIDEWALK,True,2005,41.894,-87.715
HP333107,038XX W CHICAGO AVE,GAME/DICE,SIDEWALK,True,2008,41.895,-87.722
HL652807,002XX W 95TH ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2005,41.722,-87.631
HH477735,063XX W GUNNISON ST,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2002,41.968,-87.787
HK389132,123XX S EMERALD AVE,GAME/DICE,OTHER,True,2004,41.670,-87.640
HK222295,040XX W ARMITAGE AVE,GAME/AMUSEMENT DEVICE,OTHER,True,2004,41.917,-87.727
HH604362,067XX S BLACKSTONE AVE,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2002,41.772,-87.589
HT570447,003XX E PERSHING RD,GAME/DICE,SIDEWALK,True,2011,41.824,-87.618
HN283848,009XX E 79TH ST,GAME/DICE,RESTAURANT,True,2007,41.751,-87.602
HN636450,016XX N MANGO AVE,GAME/DICE,SIDEWALK,True,2007,41.910,-87.769
HW312587,007XX N TRUMBULL AVE,GAME/DICE,SIDEWALK,True,2013,41.894,-87.713
HX541120,054XX W VAN BUREN ST,GAME/DICE,SIDEWALK,True,2014,41.875,-87.761
HR262907,054XX W CHICAGO AVE,GAME/DICE,PARKING LOT/GARAGE(NON.RESID.),True,2009,41.895,-87.763
HY378561,102XX S MORGAN ST,GAME/DICE,ALLEY,True,2015,41.708,-87.648
HV320269,068XX S PAULINA ST,GAME/DICE,SIDEWALK,True,2012,41.770,-87.666
HJ580600,094XX S BURNSIDE AVE,GAME/DICE,SIDEWALK,True,2003,41.723,-87.606
HH630870,071XX S NORMAL BLVD,GAME/DICE,SIDEWALK,True,2002,41.765,-87.637
HK536571,055XX S PRAIRIE AVE,GAME/DICE,SIDEWALK,True,2004,41.794,-87.619
HR457879,031XX W ARTHINGTON ST,GAME/DICE,SIDEWALK,True,2009,41.870,-87.705
HN574110,054XX W AUGUSTA BLVD,GAME/DICE,SIDEWALK,True,2007,41.899,-87.762
HJ388523,002XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2003,41.885,-87.758
